MODULARITY;ENTROPY;ARI;K2;LAMBDA;RHO;LINKAGE;TIME;ACTIVATION
0.7405;0.0394;0.0868;2;0.0100;0.9500;average;24.4707;relu
0.7431;0.0394;0.1017;2;0.0100;0.9500;single;24.1370;relu
0.6786;0.0392;0.1139;2;0.0100;0.9950;complete;26.0893;sigmoid
0.7145;0.0395;0.0869;2;0.0100;0.9950;average;25.8329;sigmoid
0.7137;0.0394;0.1095;2;0.0100;0.9950;single;25.2403;sigmoid
0.7205;0.0393;0.1055;2;0.0100;0.9950;complete;24.5461;relu
0.7368;0.0394;0.1043;2;0.0100;0.9950;average;24.3574;relu
0.7277;0.0394;0.0837;2;0.0100;0.9950;single;23.9054;relu
0.5075;0.0397;0.0957;2;0.1000;0.5000;complete;7.3419;sigmoid
0.5013;0.0398;0.0873;2;0.1000;0.5000;average;7.1959;sigmoid
0.4729;0.0399;0.0738;2;0.1000;0.5000;single;7.1931;sigmoid
0.5384;0.0399;0.0515;2;0.1000;0.5000;complete;7.2031;relu
0.5386;0.0399;0.0668;2;0.1000;0.5000;average;7.1007;relu
0.5559;0.0397;0.1088;2;0.1000;0.5000;single;7.0967;relu
0.5124;0.0397;0.0966;2;0.1000;0.5500;complete;24.2681;sigmoid
0.4991;0.0398;0.0910;2;0.1000;0.5500;average;24.3551;sigmoid
0.5060;0.0398;0.0672;2;0.1000;0.5500;single;24.1625;sigmoid
0.5239;0.0399;0.0620;2;0.1000;0.5500;complete;24.0297;relu
0.5218;0.0401;0.0391;2;0.1000;0.5500;average;24.1719;relu
0.5336;0.0398;0.1193;2;0.1000;0.5500;single;24.0430;relu
0.6106;0.0395;0.0996;2;0.1000;0.7500;complete;24.3365;sigmoid
0.6018;0.0396;0.1002;2;0.1000;0.7500;average;24.4212;sigmoid
0.6068;0.0396;0.0984;2;0.1000;0.7500;single;24.1811;sigmoid
0.6577;0.0394;0.1520;2;0.1000;0.7500;complete;24.1897;relu
0.6902;0.0395;0.0827;2;0.1000;0.7500;average;24.0232;relu
0.6468;0.0396;0.1097;2;0.1000;0.7500;single;23.8603;relu
0.7090;0.0393;0.1054;2;0.1000;0.9500;complete;24.3367;sigmoid
0.6975;0.0395;0.0997;2;0.1000;0.9500;average;24.6399;sigmoid
0.7059;0.0395;0.1054;2;0.1000;0.9500;single;24.1498;sigmoid
0.7517;0.0393;0.1153;2;0.1000;0.9500;complete;24.4337;relu
0.7217;0.0395;0.0832;2;0.1000;0.9500;average;24.2188;relu
0.7348;0.0394;0.1045;2;0.1000;0.9500;single;23.8757;relu
0.7064;0.0394;0.0909;2;0.1000;0.9950;complete;24.2705;sigmoid
0.7050;0.0395;0.1022;2;0.1000;0.9950;average;24.4438;sigmoid
0.7010;0.0395;0.0828;2;0.1000;0.9950;single;24.1932;sigmoid
0.7205;0.0394;0.0957;2;0.1000;0.9950;complete;24.3709;relu
0.7339;0.0397;0.0509;2;0.1000;0.9950;average;24.4856;relu
0.7235;0.0396;0.0638;2;0.1000;0.9950;single;24.0259;relu
0.3686;0.0402;0.0170;2;1.0000;0.5000;complete;7.2266;sigmoid
0.3598;0.0401;0.0318;2;1.0000;0.5000;average;7.1838;sigmoid
0.4458;0.0399;0.0805;2;1.0000;0.5000;single;7.2863;sigmoid
0.6072;0.0396;0.0753;2;1.0000;0.5000;complete;7.0690;relu
0.4607;0.0401;0.0240;2;1.0000;0.5000;average;7.1319;relu
0.4898;0.0400;0.0295;2;1.0000;0.5000;single;7.2177;relu
