MODULARITY;ENTROPY;ARI;K2;LAMBDA;RHO;TIME;ACTIVATION
0.4714;0.0550;0.1704;5;10.0000;0.7500;15.4353;sigmoid
0.3871;0.0548;0.1710;5;10.0000;0.7500;15.2953;relu
0.6775;0.0551;0.2221;5;10.0000;0.9500;15.6860;sigmoid
0.5914;0.0546;0.2349;5;10.0000;0.9500;15.2808;relu
0.6933;0.0549;0.2486;5;10.0000;0.9950;15.8651;sigmoid
0.6627;0.0548;0.2283;5;10.0000;0.9950;15.5218;relu
0.6604;0.0552;0.2212;6;0.0000;0.5000;4.0140;sigmoid
0.6219;0.0554;0.1702;6;0.0000;0.5000;3.7054;relu
0.6803;0.0550;0.2481;6;0.0000;0.5500;16.3429;sigmoid
0.6740;0.0551;0.2573;6;0.0000;0.5500;15.8380;relu
0.7173;0.0548;0.2473;6;0.0000;0.7500;16.1668;sigmoid
0.6950;0.0548;0.2473;6;0.0000;0.7500;15.8072;relu
0.7465;0.0546;0.3241;6;0.0000;0.9500;16.1764;sigmoid
0.7413;0.0546;0.3242;6;0.0000;0.9500;16.0496;relu
0.6693;0.0548;0.2217;6;0.0000;0.9950;16.0324;sigmoid
0.6947;0.0547;0.2592;6;0.0000;0.9950;15.6895;relu
0.6536;0.0552;0.2379;6;0.0000;0.5000;3.9535;sigmoid
0.6324;0.0554;0.1730;6;0.0000;0.5000;3.7232;relu
0.6275;0.0552;0.2046;6;0.0000;0.5500;16.9352;sigmoid
0.6576;0.0550;0.2597;6;0.0000;0.5500;16.6482;relu
0.6986;0.0549;0.2697;6;0.0000;0.7500;16.6949;sigmoid
0.6877;0.0549;0.2706;6;0.0000;0.7500;16.5429;relu
