MODULARITY;ENTROPY;ARI;K2;LAMBDA;RHO;LINKAGE;TIME;ACTIVATION
0.7410;0.1530;0.9020;2;0.0100;0.7500;average;3.0897;relu
0.7410;0.1530;0.9020;2;0.0100;0.7500;single;1.5580;relu
0.6044;0.1566;0.2899;2;0.0100;0.9500;complete;1.6370;sigmoid
0.6745;0.1549;0.5593;2;0.0100;0.9500;average;1.6739;sigmoid
0.6403;0.1548;0.4763;2;0.0100;0.9500;single;1.5861;sigmoid
0.5834;0.1567;0.2787;2;0.0100;0.9500;complete;1.5625;relu
0.6444;0.1563;0.4150;2;0.0100;0.9500;average;1.5974;relu
0.5916;0.1561;0.2571;2;0.0100;0.9500;single;1.5771;relu
0.4902;0.1568;0.1206;2;0.0100;0.9950;complete;1.5897;sigmoid
0.4759;0.1573;0.0460;2;0.0100;0.9950;average;1.5995;sigmoid
0.4975;0.1563;0.1677;2;0.0100;0.9950;single;1.6842;sigmoid
0.4681;0.1579;0.0986;2;0.0100;0.9950;complete;1.5507;relu
0.4689;0.1575;0.1413;2;0.0100;0.9950;average;1.5392;relu
0.4950;0.1566;0.2072;2;0.0100;0.9950;single;1.5521;relu
0.6237;0.1539;0.6155;2;0.1000;0.5000;complete;0.6587;sigmoid
0.7319;0.1528;0.9281;2;0.1000;0.5000;average;0.6794;sigmoid
0.7309;0.1528;0.9386;2;0.1000;0.5000;single;0.6634;sigmoid
0.7402;0.1529;0.9087;2;0.1000;0.5000;complete;0.6284;relu
0.7410;0.1530;0.9020;2;0.1000;0.5000;average;0.6292;relu
0.7328;0.1529;0.9183;2;0.1000;0.5000;single;0.6449;relu
0.6308;0.1546;0.6141;2;0.1000;0.5500;complete;1.5747;sigmoid
0.7312;0.1528;0.9250;2;0.1000;0.5500;average;1.6245;sigmoid
0.7324;0.1527;0.9506;2;0.1000;0.5500;single;1.6146;sigmoid
0.7397;0.1529;0.9062;2;0.1000;0.5500;complete;1.5469;relu
0.7410;0.1530;0.9020;2;0.1000;0.5500;average;1.5449;relu
0.7410;0.1530;0.9044;2;0.1000;0.5500;single;1.5432;relu
0.7249;0.1528;0.9186;2;0.1000;0.7500;complete;1.5788;sigmoid
0.6456;0.1546;0.6002;2;0.1000;0.7500;average;1.6487;sigmoid
0.7354;0.1527;0.9451;2;0.1000;0.7500;single;1.5688;sigmoid
0.6580;0.1548;0.6065;2;0.1000;0.7500;complete;1.5377;relu
0.7410;0.1530;0.9020;2;0.1000;0.7500;average;1.5351;relu
0.6681;0.1536;0.6355;2;0.1000;0.7500;single;1.5432;relu
0.6216;0.1566;0.3116;2;0.1000;0.9500;complete;1.6438;sigmoid
0.5441;0.1567;0.2867;2;0.1000;0.9500;average;1.6079;sigmoid
0.5862;0.1554;0.2910;2;0.1000;0.9500;single;1.6546;sigmoid
0.6237;0.1564;0.3459;2;0.1000;0.9500;complete;1.6510;relu
0.6449;0.1557;0.4418;2;0.1000;0.9500;average;1.5478;relu
0.6417;0.1553;0.3565;2;0.1000;0.9500;single;1.5401;relu
0.4796;0.1573;0.0901;2;0.1000;0.9950;complete;1.5819;sigmoid
0.4825;0.1577;0.1607;2;0.1000;0.9950;average;1.6732;sigmoid
0.4907;0.1577;0.1186;2;0.1000;0.9950;single;1.5744;sigmoid
0.4565;0.1569;0.0619;2;0.1000;0.9950;complete;1.5500;relu
0.4446;0.1580;0.0732;2;0.1000;0.9950;average;1.6847;relu
0.4766;0.1572;0.1069;2;0.1000;0.9950;single;1.5432;relu
0.7320;0.1527;0.9269;2;1.0000;0.5000;complete;0.7667;sigmoid
0.7313;0.1528;0.9250;2;1.0000;0.5000;average;0.6628;sigmoid
0.7315;0.1528;0.9287;2;1.0000;0.5000;single;0.6640;sigmoid
0.7388;0.1529;0.9096;2;1.0000;0.5000;complete;0.6555;relu
0.7403;0.1530;0.8985;2;1.0000;0.5000;average;0.6351;relu
0.7397;0.1530;0.8960;2;1.0000;0.5000;single;0.6286;relu
0.7383;0.1529;0.9241;2;1.0000;0.5500;complete;1.5695;sigmoid
0.7287;0.1528;0.9132;2;1.0000;0.5500;average;1.5737;sigmoid
0.7315;0.1528;0.9317;2;1.0000;0.5500;single;1.6093;sigmoid
0.7384;0.1530;0.9044;2;1.0000;0.5500;complete;1.5658;relu
0.7385;0.1531;0.8905;2;1.0000;0.5500;average;1.5481;relu
0.7385;0.1531;0.8905;2;1.0000;0.5500;single;1.6712;relu
0.7353;0.1528;0.9286;2;1.0000;0.7500;complete;1.5826;sigmoid
0.7380;0.1527;0.9414;2;1.0000;0.7500;average;1.5746;sigmoid
0.7349;0.1527;0.9450;2;1.0000;0.7500;single;1.5847;sigmoid
0.7327;0.1530;0.8958;2;1.0000;0.7500;complete;1.5539;relu
0.7410;0.1530;0.9020;2;1.0000;0.7500;average;1.5499;relu
0.7410;0.1530;0.9020;2;1.0000;0.7500;single;1.5563;relu
0.5955;0.1560;0.3097;2;1.0000;0.9500;complete;1.6229;sigmoid
0.5640;0.1568;0.2520;2;1.0000;0.9500;average;1.5807;sigmoid
0.6638;0.1543;0.6267;2;1.0000;0.9500;single;1.5774;sigmoid
0.5873;0.1570;0.2586;2;1.0000;0.9500;complete;1.5474;relu
0.6045;0.1564;0.3017;2;1.0000;0.9500;average;1.5379;relu
0.5904;0.1564;0.3098;2;1.0000;0.9500;single;1.5460;relu
0.4526;0.1577;0.1121;2;1.0000;0.9950;complete;1.5784;sigmoid
0.4714;0.1576;0.1162;2;1.0000;0.9950;average;1.6652;sigmoid
0.4885;0.1566;0.1232;2;1.0000;0.9950;single;1.5758;sigmoid
0.4918;0.1580;0.0523;2;1.0000;0.9950;complete;1.5496;relu
0.4619;0.1585;0.0650;2;1.0000;0.9950;average;1.6595;relu
0.4224;0.1572;0.0901;2;1.0000;0.9950;single;1.5473;relu
0.7336;0.1531;0.8804;2;10.0000;0.5000;complete;0.6639;sigmoid
0.7283;0.1528;0.9304;2;10.0000;0.5000;average;0.6614;sigmoid
0.7008;0.1535;0.7877;2;10.0000;0.5000;single;0.6611;sigmoid
0.3710;0.1516;0.2986;2;10.0000;0.5000;complete;0.6264;relu
0.4369;0.1516;0.3158;2;10.0000;0.5000;average;0.6341;relu
0.4346;0.1518;0.3307;2;10.0000;0.5000;single;0.7146;relu
0.7116;0.1533;0.8027;2;10.0000;0.5500;complete;1.7118;sigmoid
0.6843;0.1532;0.7664;2;10.0000;0.5500;average;1.6507;sigmoid
0.7152;0.1540;0.7976;2;10.0000;0.5500;single;1.5887;sigmoid
0.3899;0.1527;0.2729;2;10.0000;0.5500;complete;1.5867;relu
0.4275;0.1516;0.3144;2;10.0000;0.5500;average;1.6324;relu
0.4097;0.1537;0.2881;2;10.0000;0.5500;single;1.5454;relu
0.7368;0.1527;0.9319;2;10.0000;0.7500;complete;1.5647;sigmoid
0.7351;0.1528;0.9258;2;10.0000;0.7500;average;1.6732;sigmoid
0.5398;0.1550;0.5036;2;10.0000;0.7500;single;1.5706;sigmoid
0.4328;0.1535;0.3335;2;10.0000;0.7500;complete;1.5517;relu
0.6094;0.1546;0.5459;2;10.0000;0.7500;average;1.6700;relu
0.3517;0.1545;0.2350;2;10.0000;0.7500;single;1.5444;relu
0.5551;0.1558;0.2781;2;10.0000;0.9500;complete;1.6179;sigmoid
0.5132;0.1559;0.1983;2;10.0000;0.9500;average;1.6719;sigmoid
0.6248;0.1555;0.4862;2;10.0000;0.9500;single;1.5804;sigmoid
0.5178;0.1574;0.2222;2;10.0000;0.9500;complete;1.5553;relu
